title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Drifters,Patrick Watson,spotify:track:67nnDwS6FpqoPDfcUG2X7i,0.371,0.519,8,-9.447,0,0.0292,0.438,0.135,0.227,0.103,140.976,audio_features,67nnDwS6FpqoPDfcUG2X7i,https://api.spotify.com/v1/tracks/67nnDwS6FpqoPDfcUG2X7i,https://api.spotify.com/v1/audio-analysis/67nnDwS6FpqoPDfcUG2X7i,267013,4
Drifters,Patrick Watson,spotify:track:5hV4VTyzMd652TAmbB17JB,0.401,0.509,8,-9.604,0,0.0277,0.425,0.166,0.251,0.109,141.047,audio_features,5hV4VTyzMd652TAmbB17JB,https://api.spotify.com/v1/tracks/5hV4VTyzMd652TAmbB17JB,https://api.spotify.com/v1/audio-analysis/5hV4VTyzMd652TAmbB17JB,267013,4
Drifty,Sjowgren,spotify:track:3dJSC3yIV69Afxvme5qf5d,0.397,0.188,8,-12.851,0,0.0364,0.862,0.000615,0.126,0.35,184.057,audio_features,3dJSC3yIV69Afxvme5qf5d,https://api.spotify.com/v1/tracks/3dJSC3yIV69Afxvme5qf5d,https://api.spotify.com/v1/audio-analysis/3dJSC3yIV69Afxvme5qf5d,237405,3
Drive,Koriass,spotify:track:68UY4Zv39S83G86MmpRNIK,0.557,0.641,2,-6.484,0,0.314,0.139,0.0,0.419,0.312,146.101,audio_features,68UY4Zv39S83G86MmpRNIK,https://api.spotify.com/v1/tracks/68UY4Zv39S83G86MmpRNIK,https://api.spotify.com/v1/audio-analysis/68UY4Zv39S83G86MmpRNIK,199680,4
Drive My Car - Remastered 2009,The Beatles,spotify:track:06ypiqmILMdVeaiErMFA91,0.754,0.571,2,-8.547,1,0.0421,0.0173,0.0,0.3,0.82,122.463,audio_features,06ypiqmILMdVeaiErMFA91,https://api.spotify.com/v1/tracks/06ypiqmILMdVeaiErMFA91,https://api.spotify.com/v1/audio-analysis/06ypiqmILMdVeaiErMFA91,148893,4
Drive My Car / The Word / What You're Doing,The Beatles,spotify:track:62QN8Ib1QZbEF4yDwFSH1A,0.685,0.731,2,-7.431,1,0.034,0.00102,0.00845,0.307,0.85,122.508,audio_features,62QN8Ib1QZbEF4yDwFSH1A,https://api.spotify.com/v1/tracks/62QN8Ib1QZbEF4yDwFSH1A,https://api.spotify.com/v1/audio-analysis/62QN8Ib1QZbEF4yDwFSH1A,114058,4
Droopy Likes Ricochet,C418,spotify:track:446uS2hk2kGLzVqWHnCApg,0.563,0.348,0,-17.67,1,0.0308,0.375,0.911,0.172,0.061,94.632,audio_features,446uS2hk2kGLzVqWHnCApg,https://api.spotify.com/v1/tracks/446uS2hk2kGLzVqWHnCApg,https://api.spotify.com/v1/audio-analysis/446uS2hk2kGLzVqWHnCApg,96234,4
Droopy Likes Your Face,C418,spotify:track:0kZEfdlIq3sfQklsGcUZDm,0.59,0.325,2,-20.327,0,0.0348,0.589,0.927,0.2,0.404,94.625,audio_features,0kZEfdlIq3sfQklsGcUZDm,https://api.spotify.com/v1/tracks/0kZEfdlIq3sfQklsGcUZDm,https://api.spotify.com/v1/audio-analysis/0kZEfdlIq3sfQklsGcUZDm,116762,4
Drop the Game,Flume,spotify:track:4KtrE35pTuqwNc22QP58RT,0.559,0.67,7,-4.985,1,0.0474,0.592,0.000184,0.171,0.438,78.957,audio_features,4KtrE35pTuqwNc22QP58RT,https://api.spotify.com/v1/tracks/4KtrE35pTuqwNc22QP58RT,https://api.spotify.com/v1/audio-analysis/4KtrE35pTuqwNc22QP58RT,221895,4
Drug You,Half Moon Run,spotify:track:1Eb9PIo7czXRBab6GyfXd6,0.629,0.557,9,-9.642,0,0.0266,0.642,0.682,0.157,0.254,128.031,audio_features,1Eb9PIo7czXRBab6GyfXd6,https://api.spotify.com/v1/tracks/1Eb9PIo7czXRBab6GyfXd6,https://api.spotify.com/v1/audio-analysis/1Eb9PIo7czXRBab6GyfXd6,227941,4
Dry Hands,C418,spotify:track:1gNcPHAiVIQZmqJFJdt3ti,0.68,0.00713,6,-22.499,0,0.0873,0.992,0.711,0.104,0.342,117.793,audio_features,1gNcPHAiVIQZmqJFJdt3ti,https://api.spotify.com/v1/tracks/1gNcPHAiVIQZmqJFJdt3ti,https://api.spotify.com/v1/audio-analysis/1gNcPHAiVIQZmqJFJdt3ti,68500,4
Du joufflu,Loco Locass,spotify:track:3Kg8xw7jwCGjpUUeY1iT8t,0.797,0.519,1,-6.102,1,0.344,0.354,0.00127,0.342,0.596,90.044,audio_features,3Kg8xw7jwCGjpUUeY1iT8t,https://api.spotify.com/v1/tracks/3Kg8xw7jwCGjpUUeY1iT8t,https://api.spotify.com/v1/audio-analysis/3Kg8xw7jwCGjpUUeY1iT8t,279203,4
Dunes,Alabama Shakes,spotify:track:4ZWxOihI5VrXgQ6oqz9WGy,0.411,0.588,8,-6.103,1,0.0376,0.674,0.0232,0.139,0.398,77.176,audio_features,4ZWxOihI5VrXgQ6oqz9WGy,https://api.spotify.com/v1/tracks/4ZWxOihI5VrXgQ6oqz9WGy,https://api.spotify.com/v1/audio-analysis/4ZWxOihI5VrXgQ6oqz9WGy,257930,4
Dust,Hans Zimmer,spotify:track:1uyB4BHbIicheenh3BgeQ3,0.167,0.122,4,-23.045,0,0.0456,0.964,0.655,0.102,0.0297,129.618,audio_features,1uyB4BHbIicheenh3BgeQ3,https://api.spotify.com/v1/tracks/1uyB4BHbIicheenh3BgeQ3,https://api.spotify.com/v1/audio-analysis/1uyB4BHbIicheenh3BgeQ3,341396,3
E Minor,Other Lives,spotify:track:5jORzKHoBx9L0GduVRwC2R,0.257,0.422,4,-11.731,0,0.0276,0.662,0.00183,0.16,0.161,156.953,audio_features,5jORzKHoBx9L0GduVRwC2R,https://api.spotify.com/v1/tracks/5jORzKHoBx9L0GduVRwC2R,https://api.spotify.com/v1/audio-analysis/5jORzKHoBx9L0GduVRwC2R,229920,3
E.T.,Katy Perry,spotify:track:4kkeuVl6gF3RMqE4Nn5W3E,0.602,0.863,5,-5.423,0,0.0773,0.0178,0.0,0.389,0.732,150.183,audio_features,4kkeuVl6gF3RMqE4Nn5W3E,https://api.spotify.com/v1/tracks/4kkeuVl6gF3RMqE4Nn5W3E,https://api.spotify.com/v1/audio-analysis/4kkeuVl6gF3RMqE4Nn5W3E,206373,4
